App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Descargas,Descargas2,Categoria,tamaño,tamaño2,Gratuito,tipo_contenido,Genero1,dias_sin_actualizar,meses_sin_actualizar,grupomeses,version_actual,grupoversiones,version_android,Genero2,media_inst_grp_ver,mediana_inst_grp_ver,med_versandroid
বাংলাflix,FAMILY,4.2,1111.0,7.3M,100000,Free,0.0,Everyone,Entertainment,2018-06-05,3.6.1,4.1 and up,11.0,3.0,12.0,7300.0,2.0,1.0,1.0,17,2144,71.0,4.0,3,1.0,9,2.6990131578947367,3,3,3.0
Dr. Parker : Parking Simulator,GAME,4.5,14253.0,81M,1000000,Free,0.0,Everyone,Racing,2018-01-18,"3,1",4.0 and up,13.0,4.0,30.0,81000.0,5.0,1.0,1.0,46,2282,76.0,3.0,3,1.0,6,3.872093023255814,3,3,3.0
Wallpapers FN Herstal FNP 9,PERSONALIZATION,0.0,0.0,11M,1,Free,0.0,Teen,Personalization,2018-04-12,1,4.1 and up,1.0,0.0,7.0,11000.0,2.0,1.0,3.0,9,2198,73.0,2.0,1,0.0,9,2.373076923076923,2,2,3.0
Room Painting Ideas,HOUSE_AND_HOME,4.0,4450.0,7.6M,1000000,Free,0.0,Everyone,House & Home,2015-03-17,"1,7",3.0 and up,13.0,4.0,25.0,7600.0,2.0,1.0,1.0,30,3320,111.0,0.0,1,0.0,2,3.1666666666666665,2,2,2.0
Wave Z Live Wallpaper,PERSONALIZATION,4.2,63699.0,2.3M,5000000,Free,0.0,Teen,Personalization,2015-09-21,1.1.6,2.3 and up,14.0,4.0,7.0,2300.0,6.0,1.0,3.0,9,3132,104.0,1.0,1,0.0,12,2.373076923076923,2,2,3.0
The CW TV app,FAMILY,3.2,24.0,4.8M,5000,Free,0.0,Everyone,Entertainment,2018-07-28,"1,1",3.2 and up,8.0,1.0,12.0,4800.0,1.0,1.0,1.0,17,2091,70.0,5.0,1,0.0,2,2.6990131578947367,2,2,2.0
ES Holo Theme,TOOLS,4.3,11449.0,1.7M,500000,Free,0.0,Everyone,Tools,2016-02-02,2.0.4,2.0 and up,12.0,3.0,13.0,1700.0,6.0,1.0,1.0,15,2998,100.0,3.0,2,1.0,2,2.66,3,3,2.0
Wifi Analyzer,TOOLS,4.4,335115.0,1.8M,10000000,Free,0.0,Everyone,Tools,2018-04-07,3.11.2,6.0 and up,15.0,5.0,13.0,1800.0,6.0,1.0,1.0,15,2203,73.0,2.0,3,1.0,2,2.66,3,3,2.0
My baby firework (Remove ad),FAMILY,4.1,30.0,14k,1000,Paid,0.99,Everyone,Entertainment,2013-04-25,Varies with device,Varies with device,7.0,1.0,12.0,14.0,6.0,0.0,1.0,17,4011,134.0,0.0,100,2.0,13,2.6990131578947367,4,4,4.0
Postmates Food Delivery: Order Eats & Alcohol,FOOD_AND_DRINK,3.6,22875.0,22M,1000000,Free,0.0,Everyone,Food & Drink,2018-07-27,4.2.6,5.0 and up,13.0,4.0,24.0,22000.0,3.0,1.0,1.0,28,2092,70.0,5.0,4,2.0,10,3.013157894736842,4,4,3.0
DW,NEWS_AND_MAGAZINES,0.0,0.0,4.8M,10000,Free,0.0,Everyone 10+,News & Magazines,2018-07-13,1.0.5,5.0 and up,9.0,2.0,11.0,4800.0,1.0,1.0,5.0,14,2106,70.0,5.0,1,0.0,10,2.620320855614973,2,2,3.0
BD Radio TV Free List,FAMILY,4.3,539.0,13M,50000,Free,0.0,Everyone,Entertainment,2018-08-01,"1,3",4.2 and up,10.0,2.0,12.0,13000.0,2.0,1.0,1.0,17,2087,70.0,5.0,1,0.0,8,2.6990131578947367,2,2,3.0
Business Intelligence & Data,FAMILY,4.9,7.0,3.5M,1000,Free,0.0,Everyone,Education,2016-07-26,1,2.0 and up,7.0,1.0,12.0,3500.0,6.0,1.0,1.0,3,2823,94.0,2.0,1,0.0,2,2.057603686635945,2,2,2.0
LEGO Batman: DC Super Heroes,FAMILY,4.2,2557.0,5.8M,50000,Paid,4.99,Everyone 10+,Adventure;Action & Adventure,2016-05-09,Varies with device,4.0.3 and up,10.0,2.0,12.0,5800.0,1.0,0.0,5.0,32,2901,97.0,1.0,100,2.0,7,3.292307692307692,4,4,2.0
LEGO® Friends: Heartlake Rush,FAMILY,4.5,23671.0,91M,1000000,Free,0.0,Everyone,Arcade;Pretend Play,2018-07-31,1.2.0,4.1 and up,13.0,4.0,12.0,91000.0,5.0,1.0,1.0,42,2088,70.0,5.0,1,0.0,9,3.55188679245283,2,2,3.0
Jump'N'Shoot Attack,GAME,4.1,155.0,32M,1000,Paid,2.49,Everyone,Arcade,2018-05-26,"1,2",4.1 and up,7.0,1.0,30.0,32000.0,4.0,0.0,1.0,42,2154,72.0,4.0,1,0.0,9,3.55188679245283,2,2,3.0
Mackolik Live Results,SPORTS,3.9,188834.0,Varies with device,10000000,Free,0.0,Everyone,Sports,2018-07-24,Varies with device,Varies with device,15.0,5.0,20.0,0.0,6.0,1.0,1.0,23,2095,70.0,5.0,100,2.0,13,2.823529411764706,4,4,4.0
Retro Clock Widget,PERSONALIZATION,4.2,86743.0,Varies with device,5000000,Free,0.0,Everyone,Personalization,2016-11-01,Varies with device,Varies with device,14.0,4.0,7.0,0.0,6.0,1.0,1.0,9,2725,91.0,3.0,100,2.0,13,2.373076923076923,4,4,4.0
Harris J Lyrics,FAMILY,4.7,36.0,7.1M,1000,Free,0.0,Everyone,Entertainment,2018-03-12,"1,3",4.0.3 and up,7.0,1.0,12.0,7100.0,2.0,1.0,1.0,17,2229,74.0,1.0,1,0.0,7,2.6990131578947367,2,2,2.0
Renesas PMA,MEDICAL,0.0,0.0,6.6M,5,Free,0.0,Everyone,Medical,2018-07-18,1.2.9,4.4 and up,2.0,0.0,0.0,6600.0,1.0,1.0,1.0,0,2101,70.0,5.0,1,0.0,11,1.3285198555956679,2,2,3.0
AT&T Smart Wi-Fi,TOOLS,3.9,18513.0,6.1M,10000000,Free,0.0,Everyone,Tools,2018-04-26,"3,2",4.1 and up,15.0,5.0,13.0,6100.0,1.0,1.0,1.0,15,2184,73.0,2.0,3,1.0,9,2.66,3,3,3.0
TNEB Quick Pay Easy,FINANCE,4.5,28.0,1.4M,10000,Free,0.0,Teen,Finance,2018-01-29,1,3.0 and up,9.0,2.0,8.0,1400.0,6.0,1.0,3.0,10,2271,76.0,3.0,1,0.0,2,2.4,2,2,2.0
EML UPnP-AV Control Point,VIDEO_PLAYERS,3.0,78.0,322k,10000,Free,0.0,Everyone,Video Players & Editors,2013-09-19,"1,3",1.6 and up,9.0,2.0,26.0,322.0,6.0,1.0,1.0,33,3864,129.0,0.0,1,0.0,0,3.3275862068965516,2,2,2.0
Car Driving Simulator Citroen,FAMILY,3.8,174.0,44M,10000,Free,0.0,Everyone,Simulation,2017-07-18,1,2.3 and up,9.0,2.0,12.0,44000.0,4.0,1.0,1.0,34,2466,82.0,1.0,1,0.0,12,3.350515463917526,2,2,3.0
Vimeo,FAMILY,3.9,85578.0,Varies with device,10000000,Free,0.0,Teen,Entertainment,2018-08-01,Varies with device,Varies with device,15.0,5.0,12.0,0.0,6.0,1.0,3.0,17,2087,70.0,5.0,100,2.0,13,2.6990131578947367,4,4,4.0
Fr Daoud Lamei,SOCIAL,4.7,2036.0,6.8M,100000,Free,0.0,Everyone,Social,2018-05-20,"1,72",4.0.3 and up,11.0,3.0,23.0,6800.0,1.0,1.0,1.0,26,2160,72.0,4.0,1,0.0,7,2.9078947368421053,2,2,2.0
HSPA+ Tweaker (3G booster),TOOLS,4.3,99290.0,3.9M,5000000,Free,0.0,Everyone,Tools,2017-12-05,3.1 Release b2,2.3 and up,14.0,4.0,13.0,3900.0,1.0,1.0,1.0,15,2326,78.0,2.0,3,1.0,12,2.66,3,3,3.0
Ah! Monster,FAMILY,4.1,1998.0,9.8M,100000,Free,0.0,Everyone,Casual,2017-06-21,4.0.0,4.0 and up,11.0,3.0,12.0,9800.0,2.0,1.0,1.0,38,2493,83.0,1.0,4,2.0,6,3.396039603960396,4,4,3.0
IDM Internet Download Manager,PRODUCTIVITY,3.9,1322.0,4.2M,100000,Free,0.0,Everyone,Productivity,2016-10-25,1.0.4,4.2 and up,11.0,3.0,15.0,4200.0,1.0,1.0,1.0,18,2732,91.0,3.0,1,0.0,8,2.7002237136465324,2,2,3.0
365Scores - Live Scores,SPORTS,4.6,666246.0,25M,10000000,Free,0.0,Everyone,Sports,2018-07-29,5.5.9,4.1 and up,15.0,5.0,20.0,25000.0,3.0,1.0,1.0,23,2090,70.0,5.0,5,2.0,9,2.823529411764706,4,4,3.0
Amino: Communities and Chats,SOCIAL,4.8,1259075.0,62M,10000000,Free,0.0,Teen,Social,2018-07-20,1.8.19179,4.0.3 and up,15.0,5.0,23.0,62000.0,5.0,1.0,3.0,26,2099,70.0,5.0,1,0.0,7,2.9078947368421053,2,2,2.0
AP Installer,TOOLS,4.5,23.0,283k,5000,Free,0.0,Everyone,Tools,2018-07-20,13,3.2 and up,8.0,1.0,13.0,283.0,6.0,1.0,1.0,15,2099,70.0,5.0,13,2.0,2,2.66,4,4,2.0
My CookBook (Recipe Manager),FOOD_AND_DRINK,4.5,22071.0,Varies with device,1000000,Free,0.0,Everyone,Food & Drink,2018-06-29,Varies with device,Varies with device,13.0,4.0,24.0,0.0,6.0,1.0,1.0,28,2120,71.0,4.0,100,2.0,13,3.013157894736842,4,4,4.0
Barcelona Wallpaper HD,PERSONALIZATION,4.5,93.0,5.7M,10000,Free,0.0,Everyone,Personalization,2018-02-28,"1,1",4.1 and up,9.0,2.0,7.0,5700.0,1.0,1.0,1.0,9,2241,75.0,2.0,1,0.0,9,2.373076923076923,2,2,3.0
Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237.0,Varies with device,500000000,Free,0.0,Everyone,Communication,2018-07-31,37.1.206017801.DR37_RC14,4.4 and up,18.0,5.0,21.0,0.0,6.0,1.0,1.0,24,2088,70.0,5.0,37,2.0,11,2.889502762430939,4,4,3.0
Explore British Columbia - BC Travel Guide,TRAVEL_AND_LOCAL,4.4,7.0,17M,500,Free,0.0,Everyone,Travel & Local,2017-10-09,2.0.0,4.4W and up,6.0,0.0,22.0,17000.0,3.0,1.0,1.0,25,2383,79.0,2.0,2,1.0,2,2.892857142857143,3,3,2.0
Free Dating Hook Up Messenger,DATING,3.3,1157.0,21M,100000,Free,0.0,Mature 17+,Dating,2017-01-27,5.0.1,4.2 and up,11.0,3.0,4.0,21000.0,3.0,1.0,2.0,5,2638,88.0,0.0,5,2.0,8,2.142857142857143,4,4,3.0
Davis's Drug Guide,MEDICAL,3.9,272.0,6.4M,50000,Free,0.0,Everyone,Medical,2017-12-11,2.7.36,4.1 and up,10.0,2.0,0.0,6400.0,1.0,1.0,1.0,0,2320,77.0,3.0,2,1.0,9,1.3285198555956679,3,3,3.0
Popeyes® App,FOOD_AND_DRINK,3.7,61.0,11M,50000,Free,0.0,Everyone,Food & Drink,2018-07-23,1.0.2,4.1 and up,10.0,2.0,24.0,11000.0,2.0,1.0,1.0,28,2096,70.0,5.0,1,0.0,9,3.013157894736842,2,2,3.0
Leica Q,PHOTOGRAPHY,3.1,133.0,2.3M,10000,Free,0.0,Everyone,Photography,2018-05-08,1.0.2.1,4.0 and up,9.0,2.0,29.0,2300.0,6.0,1.0,1.0,43,2172,72.0,4.0,1,0.0,6,3.6265060240963853,2,2,3.0
Wi-Fi Visualizer,TOOLS,3.9,132.0,2.6M,50000,Free,0.0,Everyone,Tools,2017-05-17,0.0.9,2.3 and up,10.0,2.0,13.0,2600.0,6.0,1.0,1.0,15,2528,84.0,0.0,0,0.0,12,2.66,2,2,3.0
SCI-Ex,HEALTH_AND_FITNESS,3.5,8.0,7.9M,1000,Free,0.0,Everyone,Health & Fitness,2018-06-28,1.0060.b0060,5.0 and up,7.0,1.0,17.0,7900.0,2.0,1.0,1.0,20,2121,71.0,4.0,1,0.0,10,2.7560975609756095,2,2,3.0
SnowMobile Parking Adventure,GAME,3.6,12257.0,49M,1000000,Free,0.0,Everyone,Racing,2016-09-09,"1,4",2.3 and up,13.0,4.0,30.0,49000.0,5.0,1.0,1.0,46,2778,93.0,1.0,1,0.0,12,3.872093023255814,2,2,3.0
DF-Server Mobile,PRODUCTIVITY,4.9,17.0,76M,100,Free,0.0,Everyone,Productivity,2016-06-07,1.0.0,4.4 and up,5.0,0.0,15.0,76000.0,5.0,1.0,1.0,18,2872,96.0,1.0,1,0.0,11,2.7002237136465324,2,2,3.0
Compas BP Store,SHOPPING,0.0,0.0,2.5M,10,Free,0.0,Everyone,Shopping,2017-12-21,1.0.3,4.4 and up,3.0,0.0,27.0,2500.0,6.0,1.0,1.0,37,2310,77.0,3.0,1,0.0,11,3.3933333333333335,2,2,3.0
Ah! Coins,GAME,3.4,256.0,9.1M,50000,Free,0.0,Everyone,Action,2016-12-08,1.0.0,2.3 and up,10.0,2.0,30.0,9100.0,2.0,1.0,1.0,44,2688,90.0,2.0,1,0.0,12,3.6554621848739495,2,2,3.0
PhotoFunia,PHOTOGRAPHY,4.3,316378.0,4.4M,10000000,Free,0.0,Everyone,Photography,2017-06-03,4.0.7.0,2.3 and up,15.0,5.0,29.0,4400.0,1.0,1.0,1.0,43,2511,84.0,0.0,4,2.0,12,3.6265060240963853,4,4,3.0
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176.0,10M,100000,Free,0.0,Everyone,Art & Design,2018-04-02,1,4.0.3 and up,11.0,3.0,14.0,10000.0,2.0,1.0,1.0,16,2208,74.0,1.0,1,0.0,7,2.660377358490566,2,2,2.0
RISK: Global Domination,FAMILY,4.0,68559.0,75M,5000000,Free,0.0,Everyone,Board;Action & Adventure,2018-07-31,1.19.56.434,4.4 and up,14.0,4.0,12.0,75000.0,5.0,1.0,1.0,13,2088,70.0,5.0,1,0.0,11,2.559322033898305,2,2,3.0
Farming Simulator 16,FAMILY,4.2,32812.0,14M,500000,Paid,2.99,Everyone,Simulation;Education,2018-04-10,1.1.1.6,4.0.3 and up,12.0,3.0,12.0,14000.0,3.0,0.0,1.0,34,2200,73.0,2.0,1,0.0,7,3.350515463917526,2,2,2.0
Zomato - Restaurant Finder and Food Delivery App,FOOD_AND_DRINK,4.3,511420.0,Varies with device,10000000,Free,0.0,Everyone,Food & Drink,2018-08-01,Varies with device,Varies with device,15.0,5.0,24.0,0.0,6.0,1.0,1.0,28,2087,70.0,5.0,100,2.0,13,3.013157894736842,4,4,4.0
Message AI - Write Better Messages (Free),SOCIAL,3.7,3.0,7.9M,100,Free,0.0,Everyone,Social,2018-07-04,1.3.1-lite,5.0 and up,5.0,0.0,23.0,7900.0,2.0,1.0,1.0,26,2115,70.0,5.0,1,0.0,10,2.9078947368421053,2,2,3.0
Western Union US - Send Money Transfers Quickly,FINANCE,4.5,80904.0,16M,5000000,Free,0.0,Everyone,Finance,2018-07-05,"5,7",4.1 and up,14.0,4.0,8.0,16000.0,3.0,1.0,1.0,10,2114,70.0,5.0,5,2.0,9,2.4,4,4,3.0
U LIVE – Video Chat & Stream,SOCIAL,4.5,67611.0,21M,1000000,Free,0.0,Mature 17+,Social,2018-04-23,263.16.29,4.0.3 and up,13.0,4.0,23.0,21000.0,3.0,1.0,2.0,26,2187,73.0,2.0,26,2.0,7,2.9078947368421053,4,4,2.0
"Talkatone: Free Texts, Calls & Phone Number",COMMUNICATION,4.1,132014.0,25M,10000000,Free,0.0,Everyone,Communication,2018-07-18,"6,1",4.2 and up,15.0,5.0,21.0,25000.0,3.0,1.0,1.0,24,2101,70.0,5.0,6,2.0,8,2.889502762430939,4,4,3.0
Redfin Real Estate,HOUSE_AND_HOME,4.6,36857.0,19M,1000000,Free,0.0,Everyone,House & Home,2018-07-25,220,5.0 and up,13.0,4.0,25.0,19000.0,3.0,1.0,1.0,30,2094,70.0,5.0,22,1.0,10,3.1666666666666665,3,3,3.0
Angry Birds Evolution,FAMILY,4.5,384602.0,88M,10000000,Free,0.0,Everyone,Role Playing,2018-07-30,1.21.1,5.0 and up,15.0,5.0,12.0,88000.0,5.0,1.0,1.0,36,2089,70.0,5.0,1,0.0,10,3.391891891891892,2,2,3.0
French to English Speaking - Apprendre l' Anglais,FAMILY,4.5,4251.0,13M,1000000,Free,0.0,Everyone,Education,2018-04-27,23,4.0.3 and up,13.0,4.0,12.0,13000.0,2.0,1.0,1.0,3,2183,73.0,2.0,23,2.0,7,2.057603686635945,4,4,2.0
Angry Birds 2,FAMILY,4.6,3881752.0,57M,100000000,Free,0.0,Everyone,Casual,2018-07-26,2.21.1,4.1 and up,17.0,5.0,12.0,57000.0,5.0,1.0,1.0,38,2093,70.0,5.0,2,1.0,9,3.396039603960396,3,3,3.0
EHS Dongsen Shopping,SHOPPING,3.6,3656.0,9.0M,1000000,Free,0.0,Teen,Shopping,2018-08-03,4.16.2,4.1 and up,13.0,4.0,27.0,9000.0,2.0,1.0,3.0,37,2085,70.0,5.0,4,2.0,9,3.3933333333333335,4,4,3.0
CMB Free Dating App,DATING,4.0,48845.0,40M,1000000,Free,0.0,Mature 17+,Dating,2018-08-01,4.19.0.2320,4.4 and up,13.0,4.0,4.0,40000.0,4.0,1.0,2.0,5,2087,70.0,5.0,4,2.0,11,2.142857142857143,4,4,3.0
The Fish Master!,GAME,4.1,15763.0,54M,1000000,Free,0.0,Everyone,Arcade,2018-07-17,"1,6",4.1 and up,13.0,4.0,30.0,54000.0,5.0,1.0,1.0,42,2102,70.0,5.0,1,0.0,9,3.55188679245283,2,2,3.0
Ninja Dash - Ronin Jump RPG,FAMILY,4.7,8508.0,54M,500000,Free,0.0,Everyone 10+,Arcade;Action & Adventure,2018-08-02,1.1.23,4.0.3 and up,12.0,3.0,12.0,54000.0,5.0,1.0,5.0,42,2086,70.0,5.0,1,0.0,7,3.55188679245283,2,2,2.0
OLX Uganda Sell Buy Cellphones,SHOPPING,4.2,4977.0,9.8M,100000,Free,0.0,Everyone,Shopping,2018-07-25,11.15.03,4.1 and up,11.0,3.0,27.0,9800.0,2.0,1.0,1.0,37,2094,70.0,5.0,11,2.0,9,3.3933333333333335,4,4,3.0
PIP-Camera FN Photo Effect,PHOTOGRAPHY,4.6,8.0,9.0M,1000,Free,0.0,Everyone,Photography,2016-12-04,1,2.3 and up,7.0,1.0,29.0,9000.0,2.0,1.0,1.0,43,2692,90.0,2.0,1,0.0,12,3.6265060240963853,2,2,3.0
Star Wars™: Force Arena,FAMILY,4.4,228130.0,70M,5000000,Free,0.0,Everyone 10+,Strategy,2018-07-19,3.1.4,4.1 and up,14.0,4.0,12.0,70000.0,5.0,1.0,5.0,45,2100,70.0,5.0,3,1.0,9,3.7222222222222223,3,3,3.0
Tools & Mi Band,HEALTH_AND_FITNESS,4.4,15753.0,13M,100000,Paid,3.49,Everyone,Health & Fitness,2018-07-26,3.7.3,4.3 and up,11.0,3.0,17.0,13000.0,2.0,0.0,1.0,20,2093,70.0,5.0,3,1.0,3,2.7560975609756095,3,3,2.0
Ascape VR: 360° Virtual Travel,TRAVEL_AND_LOCAL,4.1,890.0,7.6M,100000,Free,0.0,Everyone,Travel & Local;Action & Adventure,2017-08-09,4.0.38,4.4 and up,11.0,3.0,22.0,7600.0,2.0,1.0,1.0,25,2444,81.0,1.0,4,2.0,11,2.892857142857143,4,4,3.0
PORTABLE SOCCER DX Lite,SPORTS,4.2,15068.0,2.5M,1000000,Free,0.0,Everyone,Sports,2018-06-19,"3,4",2.3 and up,13.0,4.0,20.0,2500.0,6.0,1.0,1.0,23,2130,71.0,4.0,3,1.0,12,2.823529411764706,3,3,3.0
CP Connect 2.0,PRODUCTIVITY,0.0,0.0,5.8M,500,Free,0.0,Everyone,Productivity,2017-08-17,3.9.4,4.0.3 and up,6.0,0.0,15.0,5800.0,1.0,1.0,1.0,18,2436,81.0,1.0,3,1.0,7,2.7002237136465324,3,3,2.0
FP Notebook,MEDICAL,4.5,410.0,60M,50000,Free,0.0,Everyone,Medical,2018-03-24,2.1.0.372,4.4 and up,10.0,2.0,0.0,60000.0,5.0,1.0,1.0,0,2217,74.0,1.0,2,1.0,11,1.3285198555956679,3,3,3.0
Paint Splash!,ART_AND_DESIGN,3.8,2206.0,1.2M,100000,Free,0.0,Everyone,Art & Design;Creativity,2018-04-15,"1,46",4.1 and up,11.0,3.0,14.0,1200.0,6.0,1.0,1.0,16,2195,73.0,2.0,1,0.0,9,2.660377358490566,2,2,3.0
Galaxies of Hope,MEDICAL,5.0,2.0,24M,50,Free,0.0,Everyone,Medical,2018-07-27,1,4.1 and up,4.0,0.0,0.0,24000.0,3.0,1.0,1.0,0,2092,70.0,5.0,1,0.0,9,1.3285198555956679,2,2,3.0
Meme Generator,ENTERTAINMENT,4.6,3771.0,53M,100000,Paid,2.99,Mature 17+,Entertainment,2018-08-03,4426,4.1 and up,11.0,3.0,32.0,53000.0,5.0,0.0,2.0,17,2085,70.0,5.0,44,2.0,9,2.6990131578947367,4,4,3.0
Turo - Better Than Car Rental,TRAVEL_AND_LOCAL,4.4,14114.0,46M,1000000,Free,0.0,Everyone,Travel & Local,2018-08-04,18.21.0,5.0 and up,13.0,4.0,22.0,46000.0,5.0,1.0,1.0,25,2084,69.0,5.0,18,2.0,10,2.892857142857143,4,4,3.0
Free Wi-fi HotspoT,COMMUNICATION,4.1,382.0,2.3M,50000,Free,0.0,Everyone,Communication,2018-07-20,"2,5",4.0 and up,10.0,2.0,21.0,2300.0,6.0,1.0,1.0,24,2099,70.0,5.0,2,1.0,6,2.889502762430939,3,3,3.0
Netflix,ENTERTAINMENT,4.4,5456208.0,Varies with device,100000000,Free,0.0,Teen,Entertainment,2018-07-31,Varies with device,Varies with device,17.0,5.0,32.0,0.0,6.0,1.0,3.0,17,2088,70.0,5.0,100,2.0,13,2.6990131578947367,4,4,4.0
English words application mikan,EDUCATION,4.7,9888.0,Varies with device,500000,Free,0.0,Everyone,Education,2018-07-30,Varies with device,4.1 and up,12.0,3.0,31.0,0.0,6.0,1.0,1.0,3,2089,70.0,5.0,100,2.0,9,2.057603686635945,4,4,3.0
DY Fitness,HEALTH_AND_FITNESS,0.0,0.0,43M,10,Free,0.0,Everyone,Health & Fitness,2018-08-06,4.4.1,4.1 and up,3.0,0.0,17.0,43000.0,4.0,1.0,1.0,20,2082,69.0,5.0,4,2.0,9,2.7560975609756095,4,4,3.0
Magnum 3.0 Gun Custom SImulator,GAME,4.5,16815.0,59M,1000000,Free,0.0,Teen,Action,2018-08-04,"1,0404",4.0.3 and up,13.0,4.0,30.0,59000.0,5.0,1.0,3.0,44,2084,69.0,5.0,1,0.0,7,3.6554621848739495,2,2,2.0
Eat Right Diet (by Dt Shreya's Family Diet Clinic),HEALTH_AND_FITNESS,0.0,0.0,12M,10,Free,0.0,Everyone,Health & Fitness,2018-08-07,1.0.7,5.0 and up,3.0,0.0,17.0,12000.0,2.0,1.0,1.0,20,2081,69.0,5.0,1,0.0,10,2.7560975609756095,2,2,3.0
Permit Test CO Colorado DMV,FAMILY,4.5,41.0,11M,1000,Free,0.0,Everyone,Education,2017-06-15,2.6.5,4.1 and up,7.0,1.0,12.0,11000.0,2.0,1.0,1.0,3,2499,83.0,1.0,2,1.0,9,2.057603686635945,3,3,3.0
ABC Kids - Tracing & Phonics,FAMILY,4.5,36606.0,Varies with device,10000000,Free,0.0,Everyone,Educational;Education,2018-06-22,Varies with device,4.0 and up,15.0,5.0,12.0,0.0,6.0,1.0,1.0,27,2127,71.0,4.0,100,2.0,6,2.9152542372881354,4,4,3.0
Scary Video Maker,FAMILY,3.7,9296.0,28M,500000,Free,0.0,Teen,Entertainment,2018-07-24,"1,14",4.1 and up,12.0,3.0,12.0,28000.0,4.0,1.0,3.0,17,2095,70.0,5.0,1,0.0,9,2.6990131578947367,2,2,3.0
Interactive CT and MRI Anatomy,MEDICAL,3.4,35.0,24M,1000,Paid,15.46,Everyone,Medical,2015-05-27,2.0.3,2.2 and up,7.0,1.0,0.0,24000.0,3.0,0.0,1.0,0,3249,108.0,0.0,2,1.0,1,1.3285198555956679,3,3,2.0
Casual Sic Bo (骰寶),FAMILY,4.0,3.0,2.2M,500,Free,0.0,Teen,Casual,2018-07-22,1.1.1,5.0 and up,6.0,0.0,12.0,2200.0,6.0,1.0,3.0,38,2097,70.0,5.0,1,0.0,10,3.396039603960396,2,2,3.0
The Vietnam Story - Fun Stories,COMICS,4.5,438.0,3.4M,10000,Free,0.0,Everyone,Comics,2017-12-27,1,2.3 and up,9.0,2.0,16.0,3400.0,6.0,1.0,1.0,19,2304,77.0,3.0,1,0.0,12,2.732075471698113,2,2,3.0
Dynamics AX,BUSINESS,3.7,244.0,976k,10000,Free,0.0,Everyone,Business,2015-10-26,"3,3",2.3.3 and up,9.0,2.0,2.0,976.0,6.0,1.0,1.0,2,3097,103.0,1.0,3,1.0,5,1.6111111111111112,3,3,3.0
InBrowser - Incognito Browsing,COMMUNICATION,4.2,27156.0,Varies with device,1000000,Free,0.0,Everyone,Communication,2018-05-31,Varies with device,Varies with device,13.0,4.0,21.0,0.0,6.0,1.0,1.0,24,2149,72.0,4.0,100,2.0,13,2.889502762430939,4,4,4.0
Heart of Vegas™ Slots – Free Slot Casino Games,GAME,4.5,264282.0,48M,10000000,Free,0.0,Teen,Casino,2018-07-12,3.10.43,4.0.3 and up,15.0,5.0,30.0,48000.0,5.0,1.0,3.0,31,2107,70.0,5.0,3,1.0,7,3.2580645161290325,3,3,2.0
LA Times: Your California News,NEWS_AND_MAGAZINES,3.6,3311.0,10M,100000,Free,0.0,Everyone,News & Magazines,2018-04-24,4.0.1,4.2 and up,11.0,3.0,11.0,10000.0,2.0,1.0,1.0,14,2186,73.0,2.0,4,2.0,8,2.620320855614973,4,4,3.0
Texas Hold'em Poker,GAME,3.6,12846.0,14M,1000000,Free,0.0,Teen,Casino,2017-12-29,"3,3",4.1 and up,13.0,4.0,30.0,14000.0,3.0,1.0,3.0,31,2302,77.0,3.0,3,1.0,9,3.2580645161290325,3,3,3.0
GITZ.bz,SHOPPING,4.0,4.0,2.4M,10,Free,0.0,Everyone,Shopping,2017-08-04,1,4.1 and up,3.0,0.0,27.0,2400.0,6.0,1.0,1.0,37,2449,82.0,1.0,1,0.0,9,3.3933333333333335,2,2,3.0
BeFunky Photo Editor Pro,PHOTOGRAPHY,4.5,4724.0,Varies with device,50000,Paid,1.99,Everyone,Photography,2017-08-14,Varies with device,Varies with device,10.0,2.0,29.0,0.0,6.0,0.0,1.0,43,2439,81.0,1.0,100,2.0,13,3.6265060240963853,4,4,4.0
Samsung Max - Data Savings & Privacy Protection,TOOLS,4.3,330468.0,Varies with device,10000000,Free,0.0,Everyone,Tools,2018-05-29,Varies with device,Varies with device,15.0,5.0,13.0,0.0,6.0,1.0,1.0,15,2151,72.0,4.0,100,2.0,13,2.66,4,4,4.0
SCS eC,PRODUCTIVITY,4.4,7.0,17M,100,Free,0.0,Everyone,Productivity,2016-10-21,1.0.1,4.1 and up,5.0,0.0,15.0,17000.0,3.0,1.0,1.0,18,2736,91.0,3.0,1,0.0,9,2.7002237136465324,2,2,3.0
"Ultimate Public Campgrounds (Over 37,100 in US&CA)",TRAVEL_AND_LOCAL,4.7,213.0,6.1M,5000,Paid,3.99,Everyone,Travel & Local,2018-08-05,1.8.8.0,4.4 and up,8.0,1.0,22.0,6100.0,1.0,0.0,1.0,25,2083,69.0,5.0,1,0.0,11,2.892857142857143,2,2,3.0
PK and DK Audio App,FAMILY,5.0,2.0,3.9M,100,Free,0.0,Everyone,Entertainment,2017-10-25,5.1.4,4.1 and up,5.0,0.0,12.0,3900.0,1.0,1.0,1.0,17,2367,79.0,2.0,5,2.0,9,2.6990131578947367,4,4,3.0
